data_id;Group;Date;Bat1;Bat2;Bat3;Bat4;Bat5;Bat6;Bat7;Bat8;Bat9;Bat10
1;8;6/1/2021;900200000279820;982126058484326;982126058484339;982126051278475;NA;NA;NA;NA;NA;NA
5;7;6/1/2021;982000359237615;982126058484305;982126052945896;982126051278504;982126051278564;NA;NA;NA;NA;NA
10;7;7/1/2021;982000359237615;982126058484305;982126052945896;982126051278504;982126051278564;NA;NA;NA;NA;NA
15;8;7/1/2021;900200000279820;982126058484326;982126058484339;982126051278475;NA;NA;NA;NA;NA;NA
19;9;11/1/2021;982126058484263;982126051278521;982126058484343;982126058484300;982126058484315;NA;NA;NA;NA;NA
24;7;12/1/2021;982000359237615;982126051278564;982126052945896;982126058484305;982126051278504;NA;NA;NA;NA;NA
29;7;14/1/2021;982000359237615;982126051278564;982126052945896;982126058484305;982126051278504;NA;NA;NA;NA;NA
34;11;14/1/2021;982126058484302;982126058484299;NA;NA;NA;NA;NA;NA;NA;NA
36;9;15/1/2021;982126058484263;982126051278521;982126058484343;982126058484300;982126058484315;NA;NA;NA;NA;NA
41;5;15/1/2021;982126051278549;982126058484290;900200000279415;NA;NA;NA;NA;NA;NA;NA
44;8;15/1/2021;900200000279820;982126058484326;982126058484339;982126051278475;NA;NA;NA;NA;NA;NA
48;10;18/1/2021;982126052945921;982126058484330;982126051278540;982126058484318;900200000206430;982126057845238;NA;NA;NA;NA
54;4;18/1/2021;982126051278491;900200000279422;NA;NA;NA;NA;NA;NA;NA;NA
56;8;18/1/2021;900200000279820;982126058484326;982126058484339;982126051278475;NA;NA;NA;NA;NA;NA
60;2;19/1/2021;900200000206691;982126058484287;982126058484254;NA;NA;NA;NA;NA;NA;NA
63;7;19/1/2021;982000359237615;982126051278564;982126052945896;982126058484305;982126051278504;NA;NA;NA;NA;NA
68;10;20/1/2021;982126052945921;982126058484330;982126051278540;982126058484318;900200000206430;982126057845238;NA;NA;NA;NA
74;11;20/1/2021;982126058484302;982126058484299;NA;NA;NA;NA;NA;NA;NA;NA
76;9;21/1/2021;982126058484263;982126051278521;982126058484343;982126058484300;982126058484315;NA;NA;NA;NA;NA
81;4;21/1/2021;982126051278491;900200000279422;NA;NA;NA;NA;NA;NA;NA;NA
83;9;22/1/2021;982126058484263;982126051278521;982126058484343;982126058484300;982126058484315;NA;NA;NA;NA;NA
88;8;22/1/2021;900200000279820;982126058484326;982126058484339;982126051278475;NA;NA;NA;NA;NA;NA
92;7;22/1/2021;982000359237615;982126051278564;982126052945896;982126058484305;982126051278504;NA;NA;NA;NA;NA
97;10;23/1/2021;982126052945921;982126058484330;982126051278540;982126058484318;900200000206430;982126057845238;NA;NA;NA;NA
103;5;23/1/2021;982126058484290;NA;NA;NA;NA;NA;NA;NA;NA;NA
104;10;24/1/2021;982126052945921;982126058484330;982126051278540;982126058484318;900200000206430;982126057845238;NA;NA;NA;NA
110;7;24/1/2021;982000359237615;982126051278564;982126052945896;982126058484305;982126051278504;NA;NA;NA;NA;NA
115;5;25/1/2021;982126051278549;982126058484290;NA;NA;NA;NA;NA;NA;NA;NA
117;4;25/1/2021;982126051278491;900200000279422;NA;NA;NA;NA;NA;NA;NA;NA
119;9;26/1/2021;982126058484263;982126051278521;982126058484343;982126058484300;982126058484315;NA;NA;NA;NA;NA
124;7;26/1/2021;982000359237615;982126051278564;982126052945896;982126058484305;982126051278504;NA;NA;NA;NA;NA
129;10;26/1/2021;982126052945921;982126058484330;982126051278540;982126058484318;900200000206430;982126057845238;NA;NA;NA;NA
135;9;16/2/2021;982126058484263;982126051278521;982126058484343;982126058484300;982126058484315;NA;NA;NA;NA;NA
140;2;16/2/2021;982126058484287;982126057845204;982126057845162;982126058484254;NA;NA;NA;NA;NA;NA
144;8;16/2/2021;900200000279820;982126058484326;982126058484339;982126051278475;NA;NA;NA;NA;NA;NA
148;3;16/2/2021;982126058484312;900200000279490;NA;NA;NA;NA;NA;NA;NA;NA
150;10;16/2/2021;982126052945921;982126058484330;982126051278540;982126058484318;900200000206430;982126057845238;NA;NA;NA;NA
156;6;16/2/2021;982126057845067;900200000279517;NA;NA;NA;NA;NA;NA;NA;NA
158;8;16/2/2021;900200000279820;982126058484326;982126058484339;982126051278475;NA;NA;NA;NA;NA;NA
162;11;17/2/2021;982126058484302;982126058484299;NA;NA;NA;NA;NA;NA;NA;NA
164;3;17/2/2021;982126058484312;982126058484334;982126058484346;900200000279490;NA;NA;NA;NA;NA;NA
168;10;17/2/2021;982126052945921;982126058484330;982126051278540;982126058484318;900200000206430;982126057845238;NA;NA;NA;NA
174;12;17/2/2021;982126057845204;NA;NA;NA;NA;NA;NA;NA;NA;NA
175;1;18/2/2021;982126058484272;982126058484351;982126058484291;900200000279533;982126058484331;982126058484337;NA;NA;NA;NA
181;8;18/2/2021;900200000279820;982126058484326;982126058484339;982126051278475;NA;NA;NA;NA;NA;NA
185;10;18/2/2021;982126052945921;982126058484330;982126051278540;982126058484318;900200000206430;982126057845238;NA;NA;NA;NA
191;4;18/2/2021;982126051278491;900200000279422;NA;NA;NA;NA;NA;NA;NA;NA
193;11;18/2/2021;982126058484302;982126058484299;NA;NA;NA;NA;NA;NA;NA;NA
195;6;18/2/2021;982126057845067;982126051278470;982126057845206;900200000279506;900200000279517;900200000279779;900200000279470;NA;NA;NA
202;5;18/2/2021;982126051278549;982126058484290;900200000279415;NA;NA;NA;NA;NA;NA;NA
205;2;19/2/2021;982126058484287;NA;NA;NA;NA;NA;NA;NA;NA;NA
206;12;19/2/2021;982126057845204;NA;NA;NA;NA;NA;NA;NA;NA;NA
207;2;19/2/2021;982126058484254;NA;NA;NA;NA;NA;NA;NA;NA;NA
208;1;19/2/2021;982126058484272;982126058484351;982126058484291;900200000279533;982126058484331;982126058484337;NA;NA;NA;NA
214;9;19/2/2021;982126058484263;982126051278521;982126058484343;982126058484300;982126058484315;NA;NA;NA;NA;NA
219;11;19/2/2021;982126058484302;982126058484299;NA;NA;NA;NA;NA;NA;NA;NA
221;6;19/2/2021;982126057845067;982126051278470;982126057845206;900200000279506;900200000279517;900200000279779;900200000279470;NA;NA;NA
228;5;19/2/2021;982126051278549;982126058484290;900200000279415;NA;NA;NA;NA;NA;NA;NA
231;8;20/2/2021;900200000279820;982126058484326;982126058484339;982126051278475;NA;NA;NA;NA;NA;NA
235;4;20/2/2021;982126051278491;900200000279422;NA;NA;NA;NA;NA;NA;NA;NA
237;5;20/2/2021;982126051278549;982126058484290;900200000279415;NA;NA;NA;NA;NA;NA;NA
240;6;20/2/2021;900200000279506;900200000279517;982126057845067;NA;NA;NA;NA;NA;NA;NA
243;10;20/2/2021;982126052945921;982126058484330;982126051278540;982126058484318;900200000206430;982126057845238;NA;NA;NA;NA
249;11;20/2/2021;982126058484302;982126058484299;NA;NA;NA;NA;NA;NA;NA;NA
251;9;21/2/2021;982126058484263;982126051278521;982126058484343;982126058484300;982126058484315;NA;NA;NA;NA;NA
256;8;21/2/2021;900200000279820;982126058484326;982126058484339;982126051278475;NA;NA;NA;NA;NA;NA
260;11;21/2/2021;982126058484302;982126058484299;NA;NA;NA;NA;NA;NA;NA;NA
262;5;21/2/2021;982126051278549;982126058484290;900200000279415;NA;NA;NA;NA;NA;NA;NA
265;10;21/2/2021;982126052945921;982126058484330;982126051278540;982126058484318;900200000206430;982126057845238;NA;NA;NA;NA
271;7;21/2/2021;982000359237615;982126051278564;982126052945896;982126058484305;982126051278504;NA;NA;NA;NA;NA
276;9;22/2/2021;982126058484263;982126051278521;982126058484343;982126058484300;982126058484315;NA;NA;NA;NA;NA
281;2;22/2/2021;982126057845162;982126057845204;900200000206691;982126058484287;982126058484254;NA;NA;NA;NA;NA
286;10;22/2/2021;982126052945921;982126058484330;982126051278540;982126058484318;900200000206430;982126057845238;NA;NA;NA;NA
292;5;22/2/2021;982126051278549;982126058484290;900200000279415;NA;NA;NA;NA;NA;NA;NA
295;9;10/3/2021;982126058484263;982126051278521;982126058484300;982126058484277;982126058484315;NA;NA;NA;NA;NA
300;11;11/3/2021;982126058484299;982126058484302;NA;NA;NA;NA;NA;NA;NA;NA
302;4;11/3/2021;982126051278491;900200000279422;NA;NA;NA;NA;NA;NA;NA;NA
304;10;11/3/2021;982126052945921;982126051278540;982126058484318;900200000206430;982126057845238;NA;NA;NA;NA;NA
309;5;11/3/2021;982126051278549;982126058484290;900200000279415;NA;NA;NA;NA;NA;NA;NA
312;8;11/3/2021;900200000279820;982126058484326;982126058484339;982126051278475;NA;NA;NA;NA;NA;NA
316;9;11/3/2021;982126058484263;982126058484277;NA;NA;NA;NA;NA;NA;NA;NA
318;12;11/3/2021;982126057845204;982126057845162;982126057845205;NA;NA;NA;NA;NA;NA;NA
321;4;12/3/2021;982126051278491;900200000279422;NA;NA;NA;NA;NA;NA;NA;NA
