data_id;Group;Date;Bat1;Bat2;Bat3;Bat4;Bat5;Bat6;Bat7;Bat8
1354;4;25/1/2022;982126057846209;982126057846156;NA;NA;NA;NA;NA;NA
1356;3;25/1/2022;982126057846193;982126058484334;982126058484346;900200000279490;982126058484312;NA;NA;NA
1361;6;25/1/2022;982126057845225;982126051278470;982126057845067;982126057846238;900200000279517;NA;NA;NA
1366;5;26/1/2022;982126057846202;982126058484301;900200000279415;NA;NA;NA;NA;NA
1369;10;26/1/2022;982126052945921;982126057846246;900200000206430;982126058484270;982126057845238;NA;NA;NA
1374;1;26/1/2022;900200000279533;982126057845190;982126058484331;982126057845181;982126058484296;NA;NA;NA
1379;12;26/1/2022;982126057845205;982126057845204;982126057845162;NA;NA;NA;NA;NA
1382;2;26/1/2022;982126057846227;982126057846241;982126058484287;900200000206691;NA;NA;NA;NA
1386;9;26/1/2022;982126058484300;982126057846222;982126058484277;982126058484263;982126051278521;NA;NA;NA
1391;7;27/1/2022;982126058484305;982126051278504;982126057846208;982126051278564;982126051278540;982126057846218;NA;NA
1397;8;27/1/2022;982126057846186;982126051278475;900200000279820;NA;NA;NA;NA;NA
1400;9;29/1/2022;982126058484300;982126057846222;982126058484277;982126058484263;982126051278521;NA;NA;NA
1405;7;29/1/2022;982126058484305;982126051278504;982126057846208;982126051278564;982126051278540;982126057846218;NA;NA
1411;10;29/1/2022;982126052945921;982126057846246;982126058484270;982126057845238;NA;NA;NA;NA
1415;5;29/1/2022;982126057846202;982126058484301;900200000279415;982126051278549;NA;NA;NA;NA
1419;11;29/1/2022;982126058484302;982126057846231;NA;NA;NA;NA;NA;NA
1421;2;31/1/2022;982126058484287;NA;NA;NA;NA;NA;NA;NA
1422;12;31/1/2022;982126057845205;982126057845204;982126057845162;NA;NA;NA;NA;NA
1425;5;31/1/2022;982126057846202;982126058484301;900200000279415;NA;NA;NA;NA;NA
1428;1;31/1/2022;900200000279533;982126057845190;982126058484331;982126057845181;982126058484296;NA;NA;NA
1433;3;2/2/2022;982126058484312;982126058484346;982126058484334;982126057846193;900200000279490;NA;NA;NA
1438;11;2/2/2022;982126058484302;982126057846231;NA;NA;NA;NA;NA;NA
1440;9;21/3/2022;982126057845058;982126057846159;982126058484300;982126058484263;982126058484277;982126057846222;982126051278521;NA
1447;7;21/3/2022;982126051278540;982126058484305;NA;NA;NA;NA;NA;NA
1449;7;21/3/2022;982126051278504;NA;NA;NA;NA;NA;NA;NA
1450;8;21/3/2022;900200000279820;982126057846186;982126051278475;NA;NA;NA;NA;NA
1453;7;21/3/2022;982126051278564;NA;NA;NA;NA;NA;NA;NA
1454;3;22/3/2022;982126058484312;982126057846193;900200000279490;NA;NA;NA;NA;NA
1457;3;22/3/2022;982126058484334;NA;NA;NA;NA;NA;NA;NA
1458;3;22/3/2022;982126058484346;NA;NA;NA;NA;NA;NA;NA
1459;11;22/3/2022;982126057846231;982126058484302;NA;NA;NA;NA;NA;NA
1461;4;22/3/2022;982126057846209;982126057846156;NA;NA;NA;NA;NA;NA
1464;7;22/3/2022;982126057846208;982126051278504;982126051278564;982126058484305;982126057846218;982126051278540;NA;NA
1470;10;22/3/2022;982126057845238;900200000206430;982126052945921;982126057846246;982126058484270;NA;NA;NA
1475;1;22/3/2022;982126058484274;982126058484296;982126057845181;982126057845190;900200000279533;982126058484331;NA;NA
1481;2;22/3/2022;982126058484287;982126057846241;900200000206691;982126057846227;NA;NA;NA;NA
