audio_id;Date;Group;Bat_flying;Bat_roosting;Dyad;flight_time;n_inquiry;n_response
245;7/3/2022;5;982126058484260;900200000279415;982126058484260  900200000279415;300;85;0
246;7/3/2022;6;982126057845225;982126057845067;982126057845225  982126057845067;300;50;0
247;7/3/2022;5;900200000279415;982126058484301;900200000279415  982126058484301;300;54;6
248;7/3/2022;5;982126058484260;982126051278549;982126058484260  982126051278549;300;68;0
249;7/3/2022;6;900200000279517;982126057845225;900200000279517  982126057845225;300;11;244
250;7/3/2022;6;982126057845067;982126051278470;982126057845067  982126051278470;300;1;0
251;7/4/2022;10;982126057845238;982126052945921;982126057845238  982126052945921;300;93;0
252;7/4/2022;3;900200000279490;982126058484312;900200000279490  982126058484312;300;73;540
253;7/4/2022;10;982126052945921;982126057845238;982126052945921  982126057845238;300;107;355
254;7/4/2022;3;982126058484312;900200000279490;982126058484312  900200000279490;300;82;15
256;7/4/2022;10;982126057846246;982126052945921;982126057846246  982126052945921;300;107;0
257;7/4/2022;10;900200000206430;982126057845238;900200000206430  982126057845238;300;77;0
260;7/4/2022;10;982126057846246;900200000206430;982126057846246  900200000206430;300;72;0
261;7/5/2022;1;982126057845181;900200000279533;982126057845181  900200000279533;300;128;57
262;7/5/2022;1;900200000279533;982126057845181;900200000279533  982126057845181;300;69;176
263;7/5/2022;2;982126058484287;900200000206691;982126058484287  900200000206691;300;63;0
264;7/5/2022;1;982126057845181;982126058484331;982126057845181  982126058484331;300;147;95
265;7/5/2022;1;982126058484331;982126058484296;982126058484331  982126058484296;300;152;3
266;7/5/2022;2;982126058484287;982126057846241;982126058484287  982126057846241;300;80;89
267;7/5/2022;1;982126058484296;982126058484331;982126058484296  982126058484331;300;162;9
268;7/5/2022;2;900200000206691;982126058484287;900200000206691  982126058484287;300;64;0
269;7/12/2022;4;982126057846209;982126057846156;982126057846209  982126057846156;300;119;12
270;7/12/2022;3;982126058484312;982126057846193;982126058484312  982126057846193;300;90;680
271;7/12/2022;11;982126058484302;982126057846231;982126058484302  982126057846231;134;53;0
272;7/12/2022;3;900200000279490;982126058484334;900200000279490  982126058484334;300;50;278
273;7/12/2022;3;982126057846193;982126058484346;982126057846193  982126058484346;145;16;3
274;7/12/2022;4;982126057846156;982126057846209;982126057846156  982126057846209;300;150;312
275;7/12/2022;3;982126058484346;900200000279490;982126058484346  900200000279490;300;57;1
