audio_id;Date;Group;Bat_flying;Bat_roosting;Dyad;flight_time;n_inquiry;n_response
199;7/3/2021;10;982126051278540;900200000206430;982126051278540  900200000206430;300;43;0
117;6/28/2021;10;982126052945921;900200000206430;982126052945921  900200000206430;300;48;0
168;7/1/2021;10;982126052945921;900200000206430;982126052945921  900200000206430;137;36;0
11;6/22/2021;10;982126057845238;900200000206430;982126057845238  900200000206430;300;136;0
160;7/1/2021;10;982126057845238;900200000206430;982126057845238  900200000206430;300;159;8
13;6/22/2021;10;982126058484318;900200000206430;982126058484318  900200000206430;300;71;0
209;7/3/2021;10;982126058484318;900200000206430;982126058484318  900200000206430;300;130;3
174;7/2/2021;2;982126057845162;900200000206691;982126057845162  900200000206691;300;138;0
122;6/29/2021;2;982126058484254;900200000206691;982126058484254  900200000206691;300;87;250
125;6/29/2021;2;982126058484287;900200000206691;982126058484287  900200000206691;300;40;0
190;7/2/2021;2;982126058484287;900200000206691;982126058484287  900200000206691;300;41;0
45;6/24/2021;5;982126051278549;900200000279415;982126051278549  900200000279415;300;25;0
223;7/4/2021;5;982126051278549;900200000279415;982126051278549  900200000279415;300;30;0
132;6/30/2021;5;982126058484290;900200000279415;982126058484290  900200000279415;125;19;9
188;7/2/2021;5;982126058484290;900200000279415;982126058484290  900200000279415;108;18;0
9;6/22/2021;4;982126051278491;900200000279422;982126051278491  900200000279422;23;21;6
123;6/29/2021;4;982126051278491;900200000279422;982126051278491  900200000279422;107;18;0
134;6/30/2021;6;900200000279506;900200000279470;900200000279506  900200000279470;300;26;624
74;6/26/2021;6;900200000279517;900200000279470;900200000279517  900200000279470;300;44;507
203;7/3/2021;6;900200000279517;900200000279470;900200000279517  900200000279470;300;16;281
130;6/30/2021;6;982126051278470;900200000279470;982126051278470  900200000279470;300;115;417
94;6/28/2021;6;982126057845067;900200000279470;982126057845067  900200000279470;300;8;236
112;6/28/2021;6;982126057845225;900200000279470;982126057845225  900200000279470;300;9;159
58;6/24/2021;3;982126058484312;900200000279490;982126058484312  900200000279490;300;106;0
185;7/2/2021;3;982126058484312;900200000279490;982126058484312  900200000279490;300;72;0
35;6/23/2021;3;982126058484334;900200000279490;982126058484334  900200000279490;300;157;211
41;6/23/2021;3;982126058484346;900200000279490;982126058484346  900200000279490;300;107;192
44;6/24/2021;3;982126058484346;900200000279490;982126058484346  900200000279490;300;53;5
14;6/22/2021;6;900200000279470;900200000279506;900200000279470  900200000279506;300;41;205
145;6/30/2021;6;900200000279470;900200000279506;900200000279470  900200000279506;300;25;37
25;6/22/2021;6;900200000279517;900200000279506;900200000279517  900200000279506;300;80;94
110;6/28/2021;6;900200000279517;900200000279506;900200000279517  900200000279506;300;22;9
104;6/28/2021;6;982126051278470;900200000279506;982126051278470  900200000279506;300;51;0
204;7/3/2021;6;982126057845225;900200000279506;982126057845225  900200000279506;300;30;153
208;7/3/2021;6;982126057845225;900200000279506;982126057845225  900200000279506;300;23;73
193;7/3/2021;6;900200000279470;900200000279517;900200000279470  900200000279517;99;13;0
27;6/22/2021;6;900200000279506;900200000279517;900200000279506  900200000279517;230;3;0
15;6/22/2021;6;982126051278470;900200000279517;982126051278470  900200000279517;300;118;0
91;6/26/2021;6;982126057845225;900200000279517;982126057845225  900200000279517;300;18;0
43;6/24/2021;1;982126058484291;900200000279533;982126058484291  900200000279533;300;40;49
161;7/1/2021;1;982126058484331;900200000279533;982126058484331  900200000279533;300;87;61
100;6/28/2021;1;982126058484337;900200000279533;982126058484337  900200000279533;280;78;0
107;6/28/2021;1;982126058484337;900200000279533;982126058484337  900200000279533;300;10;0
5;6/21/2021;8;982126051278475;900200000279820;982126051278475  900200000279820;300;74;0
163;7/1/2021;8;982126051278475;900200000279820;982126051278475  900200000279820;300;72;1
127;6/30/2021;7;982126051278504;982000359237615;982126051278504  982000359237615;300;162;525
152;6/30/2021;7;982126051278564;982000359237615;982126051278564  982000359237615;300;71;174
189;7/2/2021;7;982126051278564;982000359237615;982126051278564  982000359237615;300;78;47
78;6/26/2021;7;982126052945896;982000359237615;982126052945896  982000359237615;300;101;0
36;6/23/2021;7;982126058484305;982000359237615;982126058484305  982000359237615;300;104;0
89;6/26/2021;7;982126058484305;982000359237615;982126058484305  982000359237615;289;95;0
176;7/2/2021;7;982126058484305;982000359237615;982126058484305  982000359237615;278;113;39
215;7/4/2021;7;982126058484305;982000359237615;982126058484305  982000359237615;300;125;270
